"Iter","Time","α","step","UB","LB","Hk","Zk","Gap","Example","Method","δ"
"1.0","23.0","2.0","0.007929870812505152","541724.7158910504","515551.12","515551.12","912217.5151593566","0.05076818743221897","Example4 Product","subgradient",0.9
"2.0","25.0","1.0","0.011658659902240846","541724.7158910504","515551.12","515551.12","1.6819253788386108e6","0.05076818743221897","Example4 Product","subgradient",0.9
"3.0","27.0","0.5","0.007673043294162999","541724.7158910504","515551.12","515551.12","2.050828803766344e6","0.05076818743221897","Example4 Product","subgradient",0.9
"4.0","30.0","0.25","0.0028511703247456346","541724.7158910504","515551.12","515551.12","1.6565164461121883e6","0.05076818743221897","Example4 Product","subgradient",0.9
"5.0","32.0","0.125","0.000829537908499874","541724.7158910504","515551.12","515551.12","1.1794707617551242e6","0.05076818743221897","Example4 Product","subgradient",0.9
"6.0","35.0","0.125","0.00014208291299635164","541724.7158910504","515551.12","515551.12","979693.9556614863","0.05076818743221897","Example4 Product","subgradient",0.9
"7.0","39.0","0.125","0.00011425006624417589","541724.7158910504","515551.12","515551.12","947929.5208913456","0.05076818743221897","Example4 Product","subgradient",0.9
"8.0","43.0","0.125","9.600151834022392e-5","541724.7158910504","515551.12","515551.12","925404.6483342749","0.05076818743221897","Example4 Product","subgradient",0.9
"9.0","47.0","0.125","8.059160340708786e-5","541724.7158910504","515551.12","515551.12","917004.1665785572","0.05076818743221897","Example4 Product","subgradient",0.9
"10.0","51.0","0.125","7.405498841032996e-5","541724.7158910504","515551.12","515551.12","910188.0611538285","0.05076818743221897","Example4 Product","subgradient",0.9
"11.0","56.0","0.1125","6.257507879809108e-5","541724.7158910504","515551.12","515551.12","909138.5552249143","0.05076818743221897","Example4 Product","subgradient",0.9
"12.0","61.0","0.1125","6.3516186913141e-5","541724.7158910504","515551.12","515551.12","902038.355132435","0.05076818743221897","Example4 Product","subgradient",0.9
"13.0","65.0","0.1125","5.835579088011815e-5","541724.7158910504","515551.12","515551.12","903908.9999570502","0.05076818743221897","Example4 Product","subgradient",0.9
"14.0","71.0","0.1125","6.173712087545444e-5","541724.7158910504","515551.12","515551.12","899031.0864904728","0.05076818743221897","Example4 Product","subgradient",0.9
"15.0","75.0","0.1125","5.961708313038662e-5","541724.7158910504","515551.12","515551.12","901299.7635798823","0.05076818743221897","Example4 Product","subgradient",0.9
"16.0","80.0","0.10125","5.5307142113059816e-5","541724.7158910504","515551.12","515551.12","897745.5816576547","0.05076818743221897","Example4 Product","subgradient",0.9
"17.0","86.0","0.10125","5.4615615978265524e-5","541724.7158910504","515551.12","515551.12","895930.4049649044","0.05076818743221897","Example4 Product","subgradient",0.9
"18.0","91.0","0.10125","5.455282106589174e-5","541724.7158910504","515551.12","515551.12","895401.7415190382","0.05076818743221897","Example4 Product","subgradient",0.9
"19.0","97.0","0.10125","5.5214499282835043e-5","541724.7158910504","515551.12","515551.12","894826.4783107945","0.05076818743221897","Example4 Product","subgradient",0.9
